ASV	CD15.321	CBD15.394	CBD75.118	CD15.1350	CBD75.573	CBD75.180	CC.586	CC.111	CBD15.173	CC.198	CD15.701	CBD15.112	CD15.1359	CD15.335	CBD15.702	CBD75.593	CBD75.1323	CC.58	CD15.71	CBD75.363	CBD15.114	CC.26	CBD15.318	CC.125	CD15.77	CD15.377	CD15.1366	CD75.1000	CBD75.165	CBD75.710	CBD15.706	CD15.585	CBD15.34	CC.90	CBD75.384	CBD15.1370	CC.371	CC.1301	CD75.1396	CD15.1369	CD75.385	CBD75.89	CD75.392	CBD15.351	CBD75.174	CBD15.916	CD15.1339	CD75.87	CBD75.571	CBD15.142	CC.396	CD75.1398	CC.1338	CNE.1354	CD75.711	CNE.378	CD75.964	CNEB.1331	CNE.20	IBD15.114	IBD15.351	CD75.141	CNEB.158	IBD15.706	CNEB.354	CD75.714	CD75.997	IBD15.394	CNE.1375	CNE.722	CD75.187	IBD15.142	CNE.316	CNEB.193	IBD75.144	CNEB.1343	IBD75.710	IBD15.916	IBD75.363	IBD15.594	IBD15.156	CNEB.581	CNEB.195	CNE.128	CNEB.1356	CNE.97	IBD15.34	IBD75.89	IBD75.571	CNE.146	IBD75.593	CNE.362	IBD75.102	IBD75.118	IBD15.702	IC.125	IC.1314	ID15.1350	IC.26	CNEB.709	CNEB.309	IC.1338	CNE.177	CNEB.1325	CNEB.1358	ID15.321	IC.1301	CNE.370	ID15.701	INEB.309	ID15.71	ID15.1359	ID75.1398	IC.396	INEB.1331	IBD15.112	ID75.392	IC.1388	INE.121	INE.20	ID75.141	ID15.335	ID15.1363	ID15.910	INEB.1343	INEB.581	ID75.574	ID75.1000	ID15.1369	ID75.317	ID15.377	IC.198	IC.586	ID75.711	INE.128	ID75.87	INE.1375	ID75.385	INEB.1356	INE.316	INEB.709	INEB.1358	ID15.585	INE.177	IC.90	INE.378	INE.722
F1	153	519	3036	2365	529	285	1319	1137	1047	1827	364	180	1494	1543	495	3457	981	1028	837	400	713	2342	361	1672	854	255	291	45	1185	1892	98	707	130	790	221	349	882	16	137	423	616	1327	582	3127	4282	336	135	295	1056	765	941	564	1663	3172	1481	2206	331	599	1586	24606	25053	193	812	16438	639	147	433	20837	1189	4960	415	14922	4100	1110	30304	1359	16869	16430	14639	27566	4196	689	598	2765	619	7456	2171	13137	32372	2111	1271	1628	8654	682	21692	7022	3583	41685	19723	632	783	13825	1173	1279	527	6734	3157	484	4280	1734	1046	26018	4435	16810	11635	16181	20939	2808	7141	1775	3925	23582	20918	30790	14413	14514	5484	3296	15121	6737	17287	15113	15521	15025	21337	1651	1540	22838	29589	5395	9217	2867	23319	2533	495	8232	11298
F2	383	1050	1361	401	299	1759	1383	1976	129	2260	744	443	441	11759	599	8751	454	619	1200	386	550	1749	4957	1331	337	156	350	195	1505	382	193	402	122	1726	548	845	1134	98	188	468	426	498	173	470	4811	155	2043	392	663	1377	817	509	817	17312	890	9269	284	838	4387	6994	5163	2435	1499	7546	1202	428	619	5218	8815	3958	1006	13369	17735	969	6546	8886	3500	7773	2295	9176	17005	884	525	2581	2151	19087	1205	6623	5324	2713	819	2973	17294	436	10440	3501	13425	3057	6374	2337	1014	1107	3491	1050	1134	18479	14659	5111	6938	434	1241	3166	17065	6335	2261	11273	12425	15262	11250	15964	2915	6897	3179	2548	2018	4932	4468	2366	8667	14013	3334	4219	1807	2216	2627	851	7967	7697	1615	14168	5694	1440	3280	7578	8965	10473	1527
F3	4	9	72	7	39	32	168	164	3	151	30	17	28	15	11	280	16	90	55	84	42	354	103	481	18	9	58	3	350	90	5	28	6	62	98	114	104	0	28	38	18	30	32	37	1367	11	43	12	34	25	108	9	145	403	11	1077	3	109	261	3676	3479	490	167	3534	109	13	45	3641	237	476	61	1630	327	311	2338	315	4759	2077	7677	1461	8301	206	174	163	250	747	233	5805	1630	194	400	219	3800	135	1804	1521	2274	1139	8581	199	280	7926	431	210	223	2901	683	659	11536	644	555	2032	1542	909	12052	5821	793	1837	11312	1844	15453	1479	4250	791	15076	17994	4991	1277	293	2864	1175	2716	2608	2164	2982	210	691	548	5049	3795	16331	1031	1254	11636	307	7827	1396
F4	892	420	3345	2244	1453	1788	4447	598	3949	3393	1529	1063	661	1787	661	436	3036	3393	3910	3319	4626	3275	1035	2342	180	1002	4851	284	867	493	9562	2632	1286	3704	3026	1276	2679	4290	1222	2801	441	3016	167	3004	732	3200	4389	456	2134	1993	4460	2078	4065	60	3504	2260	387	10313	3722	152	241	1483	1353	133	6794	6441	761	2	3905	1623	1866	67	294	3714	20	1689	50	78	0	76	24	9431	7836	1121	1710	379	184	27	25	443	8	688	42	60	48	986	253	6	24	5385	6194	23	246	3829	1325	23	2253	906	156	0	0	54	14	1051	28	17	31	356	115	116	2	185	14	254	16	17	38	10	2	2	10	150	462	7	85	0	0	56	44	88	17	59	308	21	168	33	180
F5	1397	159	1861	695	333	1895	4672	4167	0	2911	5768	444	1445	375	5006	778	2979	3574	35	722	177	5421	0	2075	53	373	549	884	4790	2342	821	1054	525	3242	1621	6837	6257	3485	407	1346	529	8470	56	1697	157	173	195	443	5881	136	4500	359	9745	10	970	2072	3283	5036	1156	44	72	808	13604	108	3545	261	1369	0	2333	1747	132	23	218	3587	142	4075	25	53	0	63	29	5167	3033	2648	4218	426	149	16	0	6435	36	1497	0	95	224	7	3	0	0	2542	1644	0	1601	3269	4514	0	0	5435	0	0	0	3	0	0	0	84	0	0	0	3	0	0	4	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
F6	504	287	436	2023	183	4328	275	12	0	290	215	239	1439	554	126	117	0	267	1399	92	2512	818	366	573	279	391	2831	362	714	160	108	1215	207	235	917	1406	114	0	282	387	108	157	89	2042	4828	217	19582	204	182	78	87	185	86	473	220	931	1165	1003	1086	6484	6659	193	1008	1694	1090	684	3202	54	1161	987	829	553	2363	194	136	1464	217	364	6	601	4207	761	3	402	1148	1964	548	1915	100	399	86	292	641	122	818	9	884	211	93	476	948	24	214	14110	287	192	805	2563	319	49	202	9028	320	359	246	283	134	145	221	14679	610	951	111	212	5721	1128	57	425	30	3	37	1038	373	222	978	10	91	305	6628	645	897	1167	15401	87	19	1343	9858
F7	3116	655	2910	2635	435	1265	4066	1145	2112	2652	2476	1130	973	1488	1447	783	2511	2998	2562	3472	1753	3313	1677	2463	280	1806	2021	553	994	307	4684	1255	5791	1716	362	996	2612	5164	1661	2577	3027	4067	254	2570	1256	1408	499	3695	3822	1283	2868	3876	3777	35	2114	494	1171	1395	2151	94	74	3175	527	70	2484	1963	3472	0	1621	1774	999	37	254	594	11	923	24	70	0	46	3	1185	776	1146	1770	342	90	3	0	442	12	2475	2	41	47	102	5	0	0	2019	511	6	200	1204	958	0	29	466	12	0	0	12	0	0	0	12	4	0	0	0	0	2	5	207	4	0	5	1	0	0	2	0	20	0	0	0	0	0	0	1	9	1	4	0	23	0	1
F8	2113	468	1972	4054	285	1749	2656	764	3041	1642	4185	1948	1592	2276	2314	1124	1672	4202	4039	4880	928	2137	470	3485	174	2764	1410	315	618	441	3192	1967	4004	1186	578	1382	4072	3590	1126	1811	4168	2822	142	1620	841	946	735	2548	2709	1796	4235	5353	2620	18	3024	328	758	2346	1417	41	110	1947	873	46	1708	1229	2326	0	910	2546	1408	24	121	922	44	1356	52	21	0	16	23	1845	1338	784	1164	202	51	1	0	604	0	1695	2	19	74	0	19	0	6	1403	783	1	329	1661	596	9	8	658	1	0	0	0	1	10	0	36	0	19	2	4	0	6	0	323	0	3	0	0	0	0	0	0	4	0	0	0	0	3	0	5	0	1	12	0	0	0	1
F9	952	160	269	61	23	84	842	5910	0	5050	4142	73	2203	354	2576	168	4	227	144	50	2597	575	0	5276	86	3185	1596	2888	273	0	1765	2488	442	6405	64	4178	1015	438	3142	3298	407	123	103	1803	92	58	163	125	98	108	384	2175	813	14	83	3178	5584	563	1018	87	7	2242	3831	64	1761	248	4619	0	4806	2583	3086	34	426	5129	63	1867	48	8	0	77	17	531	0	3469	540	624	61	0	0	7067	44	1228	0	26	87	15	0	0	0	1636	3446	0	4502	3058	2872	0	0	6981	0	0	0	5	0	3	0	128	0	0	0	0	0	0	0	47	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
F10	828	127	2700	615	9021	536	1280	3952	810	268	154	1793	537	1666	2940	382	5363	480	928	676	726	2343	645	1724	37	803	1797	107	482	3424	825	528	849	582	3212	508	252	122	1985	905	680	390	25	277	608	609	507	759	563	1708	947	732	1527	385	429	469	246	1224	627	66	34	407	200	36	1213	536	559	0	953	721	685	6	74	397	3	655	24	61	0	12	6	823	508	2564	210	139	67	0	0	317	28	5504	2	24	7	29	5	0	6	588	3069	3	1652	382	2805	3	46	861	9	0	3	0	0	8	2	81	3	12	12	4	0	2	0	91	5	0	3	0	0	0	0	4	15	0	8	0	3	4	0	6	2	0	10	4	32	0	6
F11	1110	169	1693	1317	2224	754	871	842	1015	332	321	2681	502	1119	1806	467	3136	990	779	1051	638	878	1248	1301	46	477	830	167	473	1986	1203	496	1396	179	3782	730	596	616	1138	579	532	543	49	822	1251	598	205	1083	1442	2137	518	1612	452	625	863	727	141	1747	766	105	56	607	174	36	918	974	539	3	710	1423	322	7	55	717	4	675	34	28	0	14	11	1271	928	1200	771	88	35	2	2	239	28	2075	0	12	24	45	19	0	4	734	4719	4	1623	759	1820	4	131	1153	18	0	4	2	6	40	6	56	3	21	8	15	0	15	0	116	3	2	0	3	0	0	4	13	27	0	6	0	0	10	4	10	0	6	22	4	2	0	7
F12	2694	717	338	475	2968	8438	197	659	1740	49	122	4506	132	623	423	810	420	132	258	2026	435	87	299	19	49	395	1352	316	511	341	1393	873	796	17	2871	360	29	132	1119	2897	107	368	19	413	2765	6909	168	270	2019	2849	103	423	250	318	230	2240	74	316	1822	2	24	551	112	7	1839	114	24	2	174	198	136	4	95	42	0	314	0	6	0	4	13	604	292	787	276	141	41	0	2	197	26	367	11	15	0	7	10	0	0	425	124	0	4078	155	2674	5	9	1350	8	0	0	3	0	8	0	113	0	7	2	0	0	0	0	135	0	0	0	2	0	0	0	10	10	2	7	0	0	0	0	0	3	0	5	0	0	0	3
F13	459	1035	249	947	847	937	153	392	209	246	289	326	153	615	489	498	196	68	267	170	92	462	2177	317	105	278	258	4432	303	8112	164	97	481	171	578	1369	379	89	134	175	236	576	104	107	594	867	636	348	414	176	162	247	227	1639	1273	215	1613	212	301	176	85	238	3493	4462	233	312	237	416	520	589	287	471	1993	39	88	463	40	172	9	130	131	314	41	424	255	1854	129	151	6	2821	20	729	341	22	405	18	22	30	31	264	3037	2	481	423	245	1124	8	752	30	2	4	40	29	18	22	367	26	15	22	116	13	65	17	227	128	14	32	40	6	33	13	16	21	25	122	9	294	66	28	654	110	15	32	34	65	102	28
F14	167	79	379	833	282	163	474	520	322	109	484	887	653	486	124	224	59	225	619	1361	1337	404	21	507	95	1853	3392	47	669	4121	442	1002	310	153	10925	689	97	225	957	641	262	508	37	754	217	672	385	431	361	664	355	585	346	34	629	739	145	1325	810	23	28	363	261	39	941	445	629	0	1323	626	434	7	90	340	0	297	7	20	0	6	9	1847	1197	566	287	132	24	5	2	166	36	1003	7	11	5	163	4	0	6	1169	782	0	846	532	5488	0	56	2235	12	0	0	4	5	24	0	98	3	6	3	3	0	0	0	122	0	0	0	0	0	0	0	5	12	3	9	0	2	3	0	10	6	0	6	2	19	0	3
F15	839	138	832	2035	189	499	447	218	82	1101	1049	306	664	724	596	276	772	357	1489	250	1350	664	739	306	71	1033	1661	139	342	6547	1327	1174	256	892	620	432	584	667	518	781	649	581	63	1011	811	1212	235	689	963	424	619	906	1512	19	908	646	187	700	627	11	16	405	1312	12	476	1198	674	0	265	382	1080	14	81	477	15	520	2	22	0	25	2	1207	1065	702	435	118	30	5	7	613	8	1086	10	10	44	829	24	2	0	1019	156	5	227	558	700	3	222	397	14	0	0	8	0	88	3	12	3	26	9	12	0	22	0	109	3	0	3	2	0	0	5	14	46	0	17	0	0	6	6	15	5	9	33	3	41	2	5
F16	509	213	375	1033	1779	379	571	1015	313	283	615	1062	491	1637	1450	217	529	1223	717	131	156	611	605	999	65	1065	495	2589	219	676	121	245	267	474	508	442	963	340	472	291	285	345	52	157	444	210	3149	568	310	470	553	686	665	42	737	449	1388	631	400	62	61	611	6211	18	560	862	509	0	198	315	420	9	56	991	49	482	27	25	0	15	8	593	312	1146	263	132	59	0	0	1205	17	621	0	15	152	0	6	0	0	575	845	0	717	421	503	0	2	188	5	0	0	8	0	1	0	63	0	3	4	0	0	0	2	58	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	2	0	2	0	0	0	2
F17	267	121	575	803	217	910	363	130	1062	774	1568	3684	350	230	1281	425	2454	895	1060	2828	248	253	23	962	55	477	369	86	972	2409	514	244	164	699	333	347	527	979	406	656	289	512	45	137	353	432	419	336	557	709	714	155	411	19	765	43	170	408	187	109	93	649	129	50	527	637	637	0	109	215	274	45	98	958	15	208	43	49	0	50	5	182	22	354	65	90	96	0	0	190	7	148	0	35	55	0	8	0	0	604	1255	0	93	396	113	0	6	740	0	0	0	4	0	8	0	26	0	0	0	4	0	0	0	108	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
F18	1117	129	827	364	1040	336	634	2040	1367	261	806	436	375	899	681	524	234	356	401	254	202	360	821	213	45	408	351	104	227	1637	175	235	925	256	147	186	820	453	167	414	789	221	34	610	1245	354	261	552	349	710	1077	267	555	417	273	484	114	374	338	8	11	165	729	7	1473	190	245	6	204	269	134	12	103	729	11	667	6	44	0	12	12	316	73	605	754	112	27	4	0	401	18	2513	4	8	20	46	36	0	0	756	620	4	724	280	1636	0	276	240	7	0	0	8	2	96	0	69	6	28	8	3	0	13	4	63	0	0	2	0	0	0	0	9	47	0	12	0	0	11	0	22	3	7	34	3	20	5	1
F19	516	61	312	785	79	178	746	182	46	710	2115	314	774	361	452	229	1137	1365	985	144	149	348	237	535	44	861	399	179	459	92	210	373	202	859	152	470	785	394	208	295	697	633	31	294	98	120	299	1357	405	54	957	1285	819	10	894	55	559	610	272	10	42	725	1670	32	573	1602	461	0	447	326	554	14	57	1456	24	410	6	11	0	27	0	1310	1070	137	383	94	17	0	4	473	0	196	2	5	39	26	33	0	6	847	402	2	45	1449	318	0	59	372	7	0	0	21	2	18	0	5	3	14	2	0	0	4	0	22	4	0	6	2	0	0	0	6	20	0	2	0	0	3	0	0	0	0	19	0	10	0	0
F20	690	134	219	618	36	0	437	249	241	1072	279	613	384	208	70	47	511	862	586	0	0	63	0	895	45	363	46	898	238	0	68	258	316	1011	504	1103	1120	563	332	240	436	316	43	464	31	0	504	969	214	469	700	1428	0	0	1094	0	1563	856	289	26	25	823	1434	46	667	1322	549	0	1090	627	480	23	148	1055	31	354	10	23	0	25	1	671	337	406	438	180	6	15	0	2103	1	381	4	10	54	249	34	0	6	1219	423	7	16	1013	438	4	478	662	15	0	0	10	4	133	1	0	8	28	16	16	0	28	0	24	3	0	4	2	0	3	3	43	52	3	23	2	1	13	0	21	0	6	50	4	45	6	5
F21	339	166	396	199	0	206	817	0	500	501	505	625	393	285	890	171	436	497	728	601	2163	877	481	525	45	192	215	366	293	161	919	655	480	755	553	1380	728	476	569	921	281	325	37	637	0	686	263	324	0	348	607	394	978	0	578	172	287	604	575	6	35	440	1408	17	1058	271	412	0	381	213	239	0	54	365	26	260	0	9	0	33	0	549	304	699	516	101	51	3	0	986	0	242	4	19	39	169	25	0	6	617	176	4	0	736	435	0	226	668	0	0	0	1	1	81	0	7	3	4	16	5	0	22	0	54	0	5	0	2	0	0	0	9	45	0	0	0	0	1	8	12	2	2	33	0	32	0	7
F22	312	194	545	333	163	2126	85	133	334	17	114	968	141	310	2722	449	498	85	243	3957	354	183	259	67	51	280	649	83	291	579	1647	413	1056	14	706	213	32	173	1906	614	709	153	28	1824	1647	528	43	137	1040	4321	36	188	20	149	199	164	43	50	45	0	2	415	31	8	87	103	262	0	68	81	79	0	8	19	0	107	2	2	0	2	0	75	39	163	90	10	0	0	0	31	16	131	0	0	2	12	0	0	0	70	56	0	284	53	2842	0	3	178	0	0	0	0	0	3	0	39	0	0	0	0	0	0	0	111	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
F23	7	5	77	193	15	16	31	52	30	522	16	18	242	24	26	56	0	298	183	18	37	93	19	151	12	13	28	5	113	10	4	74	9	78	4	30	62	0	18	63	70	24	12	98	91	23	0	177	13	106	160	51	166	325	49	128	23	39	149	336	939	1	44	1424	89	11	22	313	131	228	10	489	133	0	104	51	555	214	114	625	120	12	31	122	60	334	112	301	1349	90	31	69	407	38	285	497	337	1091	134	48	59	927	75	276	41	374	202	13	680	91	40	1119	560	783	206	549	327	278	306	131	0	852	1220	188	64	561	250	175	49	70	339	5603	487	101	535	50	72	173	2886	491	150	122	376	60	44	1329	450
F24	1041	251	485	55	1197	1761	351	1884	246	268	189	1426	34	178	1207	805	51	541	315	568	1281	404	1235	170	12	108	187	105	353	405	345	145	244	693	164	114	378	507	536	97	89	809	17	133	339	184	23	227	1112	407	618	130	272	2240	308	529	172	379	425	2	20	470	284	18	237	213	31	22	325	172	81	7	91	0	3	468	0	8	0	14	0	418	266	962	131	228	25	0	0	283	21	777	2	6	14	0	5	0	0	325	166	2	615	389	722	0	0	380	0	0	0	4	0	4	0	57	0	0	5	0	0	2	0	70	3	0	2	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	2	0	0
F25	268	54	315	392	248	279	672	292	420	704	1053	200	303	287	268	141	1003	1094	744	132	261	614	207	798	33	707	942	63	339	97	599	606	188	1392	427	427	379	887	240	490	569	654	35	574	700	286	313	499	421	137	666	602	492	0	778	128	436	583	244	16	38	432	204	19	376	815	378	0	429	383	480	10	48	390	7	346	0	12	0	35	0	617	449	168	346	112	19	0	0	200	2	162	4	4	3	154	17	0	6	355	191	0	55	809	385	4	201	641	9	0	0	5	0	42	0	10	3	21	5	9	0	11	2	40	4	3	3	2	0	0	0	9	38	0	8	0	0	6	0	0	4	6	27	2	38	5	3
F26	336	18132	161	14	5722	724	0	3	0	0	9	736	14	770	152	126	0	0	13	129	131	0	0	0	5	17	403	270	151	106	127	11	185	4	164	188	0	3	0	21	0	90	0	110	157	177	17	280	262	248	0	38	0	1266	0	54	0	0	70	2	0	12	2	3	0	0	0	38	83	53	0	0	41	0	0	0	0	0	0	0	0	0	0	60	0	54	3	0	0	69	0	76	0	0	0	0	3	0	0	0	0	0	31	0	2	0	0	53	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F27	8	33	4	64	4	19	40	36	9	42	3	28	4	53	30	9	0	5	29	9	25	20	454	55	0	9	24	2	7	7	41	5	16	35	7	12	69	42	4	9	6	25	2	4	31	14	1	15	29	21	177	12	22	159	53	14	0	2	22	353	101	6	25	308	3	16	7	45	35	31	10	255	34	0	29	11	13	2709	29	382	42	3	2	11	3	121	29	52	368	35	3	186	240	3	450	138	113	102	134	121	30	73	17	7	6	291	379	13	1596	18	39	42	352	840	344	98	575	486	510	254	26	630	127	174	19	168	118	79	21	120	1979	369	175	67	572	37	469	528	210	9083	45	47	128	390	519	299	1435
F28	715	100	501	216	23	201	851	135	996	82	43	89	44	102	217	201	200	547	202	1752	331	790	339	145	24	69	60	69	272	73	1050	622	1106	382	42	373	914	413	45	251	1762	197	28	547	135	133	137	141	265	326	654	189	1286	32	669	128	115	138	986	4	24	293	196	10	1611	306	38	0	275	560	109	0	2	366	11	169	0	6	0	3	0	393	139	339	641	80	43	2	0	217	0	51	4	23	10	11	3	0	5	83	123	0	49	282	65	0	18	281	3	0	0	5	0	14	0	0	2	5	4	7	0	9	0	32	0	0	0	0	0	0	2	3	5	0	9	0	0	0	2	3	0	0	5	0	2	4	1
F29	329	88	85	451	94	55	151	171	348	531	220	943	165	123	0	23	302	278	367	88	0	35	98	283	28	462	146	760	112	21	136	108	578	813	0	162	530	255	465	407	312	254	23	286	89	496	324	302	156	825	426	564	347	0	137	257	706	241	185	14	11	317	1338	20	431	377	117	0	261	230	486	16	82	657	23	303	5	8	0	15	5	288	63	229	407	167	12	4	3	1221	5	445	10	4	45	316	32	0	1	415	174	1	5	618	171	4	274	1108	9	0	2	9	4	78	0	6	7	35	8	9	0	11	0	19	4	0	4	1	0	2	0	14	34	0	11	0	0	10	5	13	1	7	21	0	43	0	1
F30	239	73	337	196	31	230	405	113	390	92	212	280	125	118	96	57	369	302	203	150	282	606	110	375	16	203	140	292	315	57	383	240	231	438	629	568	454	271	260	321	139	235	26	626	36	902	192	97	170	212	370	484	365	12	243	142	301	811	419	16	31	261	464	23	754	374	237	0	306	330	273	4	40	405	10	344	3	15	0	13	0	763	555	435	280	75	16	2	5	327	0	166	4	10	17	72	21	0	12	369	305	0	210	390	207	4	148	964	9	0	0	8	3	47	0	6	0	12	9	3	0	11	0	37	0	0	5	0	0	2	0	8	20	0	9	0	0	7	2	8	2	5	29	3	32	0	2
F31	34	0	2	65	0	0	0	0	0	59	41	0	44	98	0	0	4	0	27	0	0	0	0	0	14241	53	66	14	0	0	0	49	0	0	0	0	0	0	21	68	20	0	8256	661	0	0	69	46	0	0	0	31	0	0	41	0	16	0	0	0	2	40	0	0	0	36	39	0	0	0	15	39	35	0	0	0	0	0	0	0	0	0	175	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736	0	0	38	0	0	0	0	0	81	0	92	0	0	0	0	6	46	0	0	0	0	0	0
F32	10	10	254	0	352	452	580	920	0	689	0	11	28	57	3	61	1534	3375	0	71	40	135	0	249	0	12	13	11	3681	35	146	55	29	268	57	3	3158	2176	110	0	0	753	0	0	22	3	2	18	512	3	1902	53	532	0	3	0	29	125	245	2	53	5	109	17	38	0	13	0	122	19	0	3	18	0	29	5	0	13	0	2	0	14	0	317	0	11	11	0	0	174	3	78	0	5	28	0	5	0	0	82	9	0	66	0	20	0	0	33	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
F33	3	0	0	137	12	0	522	351	36	1109	11	24	3	37	6	2	8	291	27	2	17	382	0	770	2	11	22	37	4	28	20	7	0	852	13	25	771	859	46	7	52	0	20	9	23	35	7	356	43	7	714	119	234	5	680	4	32	35	46	122	71	90	87	134	27	238	32	0	58	141	268	298	197	14	26	143	23	194	5	129	18	73	4	39	8	62	45	39	43	114	11	90	130	2	151	120	55	39	36	125	119	18	34	56	33	75	57	65	970	0	18	94	41	242	107	53	938	219	94	20	7	563	39	0	13	12	230	52	6	31	29	38	147	25	624	14	26	85	155	4413	52	28	115	94	37	148	91
F34	20	77	36	296	0	14	29	18	1382	22	258	521	81	80	271	1491	0	88	672	7	2236	288	665	140	39	36	69	13	138	0	956	120	260	12	0	146	512	155	236	601	26	39	10	676	164	164	124	15	90	1066	84	68	225	181	3	405	2	123	1113	15	20	253	122	5	2142	1	1	3	68	940	13	0	26	93	3	80	5	0	0	0	0	73	0	515	45	54	37	0	0	196	0	72	0	26	13	0	0	0	3	76	118	0	7	100	66	0	3	71	5	0	0	3	2	0	0	0	0	4	0	3	0	0	0	43	0	0	2	0	0	0	0	4	5	0	3	0	0	0	0	0	0	0	0	0	0	0	6
F35	273	69	152	176	65	176	219	334	526	151	503	426	131	170	236	119	602	250	256	364	263	432	325	228	21	761	342	227	222	31	511	301	337	435	163	197	319	333	207	531	239	596	15	195	131	273	66	348	209	417	349	185	258	6	288	132	211	328	325	9	20	160	555	19	286	121	272	0	310	169	227	6	33	172	7	189	4	6	0	11	2	149	78	254	254	54	13	0	0	394	0	359	0	2	22	8	2	0	0	284	83	0	127	307	136	0	8	193	0	0	0	3	0	3	0	11	0	0	2	0	0	0	0	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	5	0	0
F36	138	350	125	421	1466	365	116	28	147	93	262	420	208	507	659	181	196	149	547	272	109	175	0	266	30	349	690	55	223	587	272	312	127	95	376	217	102	310	387	347	131	265	19	289	336	266	1369	300	253	486	181	326	178	30	236	78	105	331	124	20	11	310	123	2	262	318	117	0	140	125	198	0	17	321	3	122	0	0	0	0	0	105	37	222	67	37	8	0	0	39	2	94	0	8	8	0	3	0	0	273	522	0	129	311	251	0	3	43	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	54	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F37	73	73	795	0	4	683	72	328	316	1011	0	0	15	19	0	13	17	51	35	32	7	49	68	1136	0	104	0	3186	31	6	11	12	139	633	5	0	84	247	430	80	111	92	34	0	51	0	0	33	27	24	60	845	66	0	44	0	5549	3	63	17	0	2202	0	0	2	73	125	0	0	93	1699	7	35	0	0	37	6	0	0	8	0	0	0	0	0	28	0	0	0	6	0	0	0	0	0	5	0	0	0	0	44	0	21	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
F38	243	62	121	266	34	124	561	185	109	254	590	189	343	148	240	118	92	407	408	100	162	315	241	384	23	260	328	284	121	64	119	324	168	455	66	242	418	415	148	304	244	196	33	171	147	120	211	245	169	176	398	404	445	9	390	69	272	412	166	14	27	226	532	8	467	426	441	0	106	147	191	6	41	348	10	420	9	5	0	31	0	422	275	231	235	61	23	3	0	464	4	168	0	2	34	9	3	0	0	386	150	0	85	242	178	0	0	153	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	28	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0
F39	139	48	157	601	123	68	203	172	269	237	100	255	166	101	260	144	729	186	384	366	329	269	190	205	21	135	113	246	128	254	153	194	425	182	73	126	290	246	905	275	419	413	24	284	102	1164	100	314	131	644	270	292	177	0	318	36	167	190	198	18	12	172	304	10	108	746	121	0	54	216	118	0	20	51	4	137	3	5	0	3	0	296	219	423	69	27	6	0	0	150	0	154	0	5	6	22	9	0	0	279	814	0	235	264	110	0	34	99	0	0	0	0	0	4	0	8	0	3	2	0	0	2	0	25	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	3	0	1	2	0
F40	184	123	33	251	59	1206	0	0	1648	0	28	983	40	149	112	1271	1306	0	89	205	1181	60	0	0	25	54	1588	9	159	16	230	325	745	0	1121	135	0	50	143	3240	5	51	6	135	69	0	170	5	43	291	0	0	10	21	0	120	0	0	0	0	0	147	0	3	0	0	0	0	0	0	70	0	1	0	0	319	0	3	0	0	5	0	0	23	0	5	0	0	0	0	0	58	0	0	0	36	4	0	0	6	0	0	98	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	24	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	8	0	0	0	0	26	1	2
F41	0	68	101	234	46	443	97	10	0	0	0	0	4	187	80	69	0	136	1	1351	591	0	97	198	1	119	0	12	120	111	1063	238	21	790	33	0	0	0	1059	86	123	35	11	0	105	3391	0	206	239	108	13	1609	165	0	147	513	0	117	1541	0	34	161	0	0	31	28	329	0	0	29	0	0	18	0	0	448	3	2	0	25	2	46	0	92	175	124	4	0	0	0	0	39	0	1	0	0	0	0	1	0	13	0	18	0	0	0	0	686	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0	14	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1
