ASV	CD15.321	CBD15.394	CBD75.118	CD15.1350	CBD75.573	CBD75.180	CC.586	CC.111	CBD15.173	CC.198	CD15.701	CBD15.112	CD15.1359	CD15.335	CBD15.702	CBD75.593	CBD75.1323	CC.58	CD15.71	CBD75.363	CBD15.114	CC.26	CBD15.318	CC.125	CD15.77	CD15.377	CD15.1366	CD75.1000	CBD75.165	CBD75.710	CBD15.706	CD15.585	CBD15.34	CC.90	CBD75.384	CBD15.1370	CC.371	CC.1301	CD75.1396	CD15.1369	CD75.385	CBD75.89	CD75.392	CBD15.351	CBD75.174	CBD15.916	CD15.1339	CD75.87	CBD75.571	CBD15.142	CC.396	CD75.1398	CC.1338	CNE.1354	CD75.711	CNE.378	CD75.964	CNEB.1331	CNE.20	IBD15.114	IBD15.351	CD75.141	CNEB.158	IBD15.706	CNEB.354	CD75.714	CD75.997	IBD15.394	CNE.1375	CNE.722	CD75.187	IBD15.142	CNE.316	CNEB.193	IBD75.144	CNEB.1343	IBD75.710	IBD15.916	IBD75.363	IBD15.594	IBD15.156	CNEB.581	CNEB.195	CNE.128	CNEB.1356	CNE.97	IBD15.34	IBD75.89	IBD75.571	CNE.146	IBD75.593	CNE.362	IBD75.102	IBD75.118	IBD15.702	IC.125	IC.1314	ID15.1350	IC.26	CNEB.709	CNEB.309	IC.1338	CNE.177	CNEB.1325	CNEB.1358	ID15.321	IC.1301	CNE.370	ID15.701	INEB.309	ID15.71	ID15.1359	ID75.1398	IC.396	INEB.1331	IBD15.112	ID75.392	IC.1388	INE.121	INE.20	ID75.141	ID15.335	ID15.1363	ID15.910	INEB.1343	INEB.581	ID75.574	ID75.1000	ID15.1369	ID75.317	ID15.377	IC.198	IC.586	ID75.711	INE.128	ID75.87	INE.1375	ID75.385	INEB.1356	INE.316	INEB.709	INEB.1358	ID15.585	INE.177	IC.90	INE.378	INE.722
F199	15	0	22	16	3	7	10	8	0	4	26	3	7	12	12	9	16	11	13	11	3	14	16	39	0	8	10	0	32	0	17	14	7	40	10	25	3	5	0	14	0	21	0	5	7	10	4	16	10	4	8	22	13	0	0	7	2	8	3	0	0	8	31	0	34	8	10	0	17	7	4	0	2	7	2	11	0	0	0	0	0	22	13	27	8	8	0	0	0	9	0	13	0	0	0	0	0	0	0	14	0	0	6	19	22	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	18	0	0	0	0	16	0	0	0	0	0	0	0	20	0	0	15	0	0	23	0	0	0	0	0	0	0	0	0	19	4	0	0	0	215	0	5	0	0	0	184	0	180	0	0	0	0	0	217	0	18	0	0	0	0
F201	8	0	16	14	8	9	18	11	2	15	38	3	6	9	9	10	9	8	6	8	13	14	17	18	0	11	14	6	4	2	6	11	4	21	2	7	27	10	14	18	12	9	0	2	3	18	5	15	7	3	33	18	35	0	18	5	11	11	4	0	2	7	9	0	31	12	26	0	5	18	18	0	0	10	0	20	0	2	0	0	0	29	6	6	28	4	0	0	0	7	0	3	0	0	0	3	0	0	0	22	12	0	3	20	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	2	0	0	0	4	0	0	10	117	0	165	0	0	0	0	0	0	15	88	0	10	0	0	12	5	30	0	0	4	38	6	7	0	0	0	0	0	0	4	0	0	22	5	15	61	0	0	0	0	4	3	0	2	0	3	3	306	3	0
F203	10	5	21	4	5	18	14	2	31	2	13	92	4	5	6	11	0	12	11	0	1	4	8	10	0	15	7	5	12	1	6	3	18	18	6	31	6	0	6	1	13	173	0	1	2	20	5	11	18	6	16	18	17	0	5	0	17	22	13	0	0	7	6	0	16	21	8	0	1	3	14	0	0	16	0	7	0	0	0	0	0	6	0	2	10	3	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	5	7	12	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F204	18	5	47	3	0	51	14	4	44	7	16	64	6	10	4	5	14	9	14	1	0	6	10	3	0	14	14	0	10	2	31	16	10	18	8	24	7	0	6	24	4	43	0	2	4	31	6	2	11	6	3	33	27	0	2	3	6	5	10	0	0	0	18	0	27	0	19	0	4	7	6	0	0	15	3	18	0	0	0	0	0	19	11	4	3	7	0	0	0	7	0	4	0	0	0	0	0	0	0	10	3	0	2	9	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F205	11	13	0	3	1	99	2	0	17	0	11	4	0	4	51	39	13	0	11	52	29	1	0	0	0	29	26	8	29	5	0	2	16	0	15	8	0	0	9	67	2	22	0	3	9	46	0	11	3	15	7	8	7	0	0	8	6	7	15	0	2	18	0	0	0	13	6	0	9	0	32	0	3	6	0	2	0	0	0	0	0	12	28	7	1	0	0	0	0	8	0	9	0	0	0	0	0	0	0	5	0	0	1	4	10	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	50	0	0	0	0	39	0	0	0	0	19	0	0	0	0	0	0	0	37	0	0	53	0	0	66	0	0	0	0	0	0	0	0	0	63	7	0	0	0	124	0	0	0	0	0	154	0	123	0	0	0	0	0	84	0	63	0	0	0	0
F207	16	7	9	25	45	11	6	15	11	8	13	19	3	14	23	9	13	3	28	17	16	13	3	0	0	14	12	15	5	16	34	7	14	1	25	8	6	8	12	43	5	25	0	9	9	3	12	13	23	9	12	12	17	1	16	3	6	5	19	0	0	1	7	0	5	9	10	0	5	7	7	0	1	2	0	7	0	0	0	0	0	4	1	12	3	6	0	0	0	8	0	14	0	0	3	0	0	0	0	15	0	0	2	4	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	78	0	2	0	0	0	0	0	0	3	0	0	0	0	3	0	0	6	21	25	0	24	3	0	5	0	2	0	3	47	0	9	0	0	5	0	115	0	0	0	133	7	5	0	6	0	0	0	0	6	0	0	0	0	12	93	0	2	0	0	2	3	3	2	0	3	0	247	0	0
