ASV	Feat	Num	Sum	CD15.321	CBD15.394	CBD75.118	CD15.1350	CBD75.573	CBD75.180	CC.586	CC.111	CBD15.173	CC.198	CD15.701	CBD15.112	CD15.1359	CD15.335	CBD15.702	CBD75.593	CBD75.1323	CC.58	CD15.71	CBD75.363	CBD15.114	CC.26	CBD15.318	CC.125	CD15.77	CD15.377	CD15.1366	CD75.1000	CBD75.165	CBD75.710	CBD15.706	CD15.585	CBD15.34	CC.90	CBD75.384	CBD15.1370	CC.371	CC.1301	CD75.1396	CD15.1369	CD75.385	CBD75.89	CD75.392	CBD15.351	CBD75.174	CBD15.916	CD15.1339	CD75.87	CBD75.571	CBD15.142	CC.396	CD75.1398	CC.1338	CNE.1354	CD75.711	CNE.378	CD75.964	CNEB.1331	CNE.20	IBD15.114	IBD15.351	CD75.141	CNEB.158	IBD15.706	CNEB.354	CD75.714	CD75.997	IBD15.394	CNE.1375	CNE.722	CD75.187	IBD15.142	CNE.316	CNEB.193	IBD75.144	CNEB.1343	IBD75.710	IBD15.916	IBD75.363	IBD15.594	IBD15.156	CNEB.581	CNEB.195	CNE.128	CNEB.1356	CNE.97	IBD15.34	IBD75.89	IBD75.571	CNE.146	IBD75.593	CNE.362	IBD75.102	IBD75.118	IBD15.702	IC.125	IC.1314	ID15.1350	IC.26	CNEB.709	CNEB.309	IC.1338	CNE.177	CNEB.1325	CNEB.1358	ID15.321	IC.1301	CNE.370	ID15.701	INEB.309	ID15.71	ID15.1359	ID75.1398	IC.396	INEB.1331	IBD15.112	ID75.392	IC.1388	INE.121	INE.20	ID75.141	ID15.335	ID15.1363	ID15.910	INEB.1343	INEB.581	ID75.574	ID75.1000	ID15.1369	ID75.317	ID15.377	IC.198	IC.586	ID75.711	INE.128	ID75.87	INE.1375	ID75.385	INEB.1356	INE.316	INEB.709	INEB.1358	ID15.585	INE.177	IC.90	INE.378	INE.722
3647b77371d4c250c4c2581f79bd131e	F120	72	3363	59	7	40	39	8	56	104	22	32	51	85	16	32	28	29	48	35	87	26	24	37	71	62	68	6	28	69	15	22	9	27	43	20	71	8	25	54	95	10	57	68	29	0	24	5	18	13	55	32	4	80	62	79	3	42	20	15	74	45	0	3	39	29	8	55	46	34	0	40	39	30	0	4	52	0	53	3	3	0	4	0	138	138	20	44	9	0	0	0	15	0	19	0	0	0	3	0	0	0	71	21	0	8	97	28	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a0bded2b30070209e19bcdc9d47d2081	F121	262	3345	0	0	0	717	0	0	0	0	0	0	0	0	76	0	0	0	127	0	0	0	0	0	0	0	0	334	585	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	740	0	4	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	38	0	0	0	0	185	3	0	0	7	0	0	2	0	0	3	0	0	15	0	3	2	0	0	0	8	1	6	0	0	0	3	0	7	0	11	0	0	0	0	0	10	4	0	4	2	6	0
754042a1b065f658bf73abd10770056c	F122	90	3320	34	19	33	63	6	6	25	46	49	49	83	36	31	44	26	11	22	59	57	10	31	44	31	28	8	37	23	97	13	16	16	43	25	44	8	47	26	44	40	43	65	26	6	24	16	49	13	86	30	22	42	249	22	0	84	6	36	41	19	0	2	60	79	3	40	98	77	0	23	27	96	3	6	46	2	46	0	0	0	5	0	52	26	35	14	8	10	0	0	53	0	48	0	3	2	0	3	0	0	65	10	0	31	75	36	0	0	15	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613c025cc19ae3d4460d5970a3277dd8	F123	81	3316	42	12	23	81	3	7	76	15	46	66	48	34	49	13	27	9	3	82	74	21	112	76	50	38	0	10	54	52	59	8	9	32	24	121	7	80	76	23	41	13	18	6	3	0	8	35	29	41	7	7	66	81	42	0	76	7	21	46	61	2	7	54	119	0	19	80	84	0	24	10	60	3	4	42	4	37	0	4	0	2	0	123	65	23	18	21	4	0	0	132	0	20	0	3	2	9	0	0	0	59	17	0	6	51	7	0	0	24	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7909fcaaac8f78aa309f8d0193c8df24	F124	690	3233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2	0	0	0	0	0	0	0	6	22	0	0	10	0	0	0	11	0	0	0	19	0	0	14	0	2	420	5	24	3	0	0	0	0	0	17	12	117	3	1	11	96	0	14	4	13	4	29	11	3	1	0	0	0	69	29	0	862	0	0	18	63	441	12	30	34	99	37	2	0	69	16	0	4	3	47	4	0	17	339	24	41	5	0	3	0	10	17	11	0	0	17	0	26	0	0
370f8e2c42065b39909e04ccbaec4a68	F125	855	3204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	116	0	0	0	0	52	0	0	0	0	0	0	0	78	0	0	147	0	0	227	0	0	0	0	0	0	0	0	0	221	22	0	0	0	484	0	12	0	0	0	614	0	534	0	0	0	0	0	356	0	214	0	0	0	0
69cd90debb9e83482f40065a8bd5f4ef	F126	854	3189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	135	0	0	0	0	49	0	0	0	0	0	0	0	99	0	0	133	0	0	271	0	0	0	0	0	0	0	0	0	293	32	0	0	0	298	0	22	0	0	0	471	0	477	0	0	0	0	0	341	0	299	0	0	0	0
b42bedbf4b34bf338b67d82e5afefe01	F127	263	3164	0	0	0	112	52	0	0	21	133	80	0	0	0	14	0	0	7	40	265	0	0	0	233	105	0	79	0	0	0	468	0	0	0	70	20	93	0	113	0	0	52	0	2	0	26	53	30	86	27	0	0	20	174	0	0	35	17	0	0	7	0	61	0	0	0	149	109	0	0	41	21	0	10	0	0	0	0	0	0	5	3	0	0	1	0	12	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	40	0	42	0	0	213	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2
386057d8579e391047f8eb72ea492e1f	F128	101	3107	24	3	111	17	0	0	33	8	100	7	18	21	21	15	1	13	38	16	52	9	8	13	37	14	5	74	60	7	0	5	32	11	49	93	23	0	10	8	9	9	51	45	6	35	20	206	6	28	30	0	69	22	11	0	34	4	24	301	43	0	7	12	19	8	46	11	19	0	71	63	34	0	12	23	0	39	0	4	0	3	0	33	13	17	7	21	2	0	0	23	0	424	0	0	0	0	0	0	0	124	23	0	14	41	29	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
4c4a5feae1601239f9531926e73a3618	F129	856	3087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	143	0	0	0	0	89	0	0	0	0	0	0	0	138	0	0	164	0	0	154	0	0	0	0	0	0	0	0	0	220	59	0	0	0	489	0	29	0	0	0	503	0	493	0	0	0	0	0	364	0	139	0	0	0	0
82c06c4872b0276ade262c511653e68b	F130	104	2974	21	5	29	55	9	7	66	6	30	120	27	0	15	4	20	5	76	85	65	22	20	14	49	74	0	26	9	7	31	10	7	15	24	71	1	22	32	15	13	20	24	54	6	15	4	27	3	75	63	8	36	97	38	0	20	6	20	36	21	5	0	14	24	2	77	96	54	0	15	52	32	0	6	44	0	58	0	3	0	6	2	169	127	21	49	11	0	0	0	28	0	42	0	3	0	3	0	0	0	111	42	0	34	88	46	0	0	20	0	0	0	3	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
f59d822205b0dd33138d29b2559e34ba	F131	159	2938	4	2	40	33	0	17	25	24	96	41	90	29	28	25	12	19	46	53	21	35	37	29	16	41	7	44	44	24	22	25	37	28	9	108	20	16	51	85	25	36	38	34	0	21	9	16	13	39	24	11	99	52	24	0	65	3	40	87	40	0	7	75	64	0	119	41	4	0	41	20	51	4	4	70	0	29	2	0	0	0	0	71	63	32	35	4	5	0	0	49	0	19	0	0	0	0	0	0	0	24	26	0	10	60	27	0	5	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5cfbef0b58bc661d0eaa14703b34410f	F132	235	2803	0	0	19	0	0	0	0	4	0	51	0	0	0	0	0	0	35	103	87	0	0	42	0	135	1	0	0	0	58	0	0	83	0	0	70	0	0	36	0	0	0	0	4	7	0	0	0	168	8	0	32	276	0	0	60	0	251	63	0	2	5	90	0	2	0	42	116	0	252	105	3	1	14	0	0	0	2	3	0	0	0	0	0	35	21	4	0	0	0	169	0	11	1	0	5	0	1	0	2	214	29	0	0	48	0	0	3	0	2	0	0	0	0	3	0	0	1	2	2	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	3	0	0	3	0	3	0	0	0	2	0	1	2
b1ca5ac97380ab53be8ac753e39e4588	F133	71	2780	59	13	28	33	12	24	7	0	92	6	14	37	5	22	14	17	169	12	41	73	79	2	59	19	0	42	120	4	30	21	27	51	38	0	135	21	7	0	9	128	18	43	0	5	18	545	8	41	48	33	6	32	16	0	38	2	4	24	116	0	4	27	2	0	7	17	7	0	8	19	50	0	5	12	0	19	0	0	0	0	0	40	31	12	0	6	2	0	0	8	0	10	0	0	0	0	0	0	0	4	4	0	5	4	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
3d02b7e081eb990a9c593ff64964c061	F134	83	2726	40	50	164	0	0	855	0	0	0	0	0	0	0	0	0	106	113	158	4	0	0	141	0	0	0	0	0	10	0	0	4	0	0	0	23	155	1	0	0	0	0	0	0	0	343	0	5	0	37	0	7	0	0	0	0	26	0	0	0	0	4	0	0	6	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	71	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
812750ffc80f67df7902dcc997fbe58e	F135	75	2700	55	6	20	21	2	10	67	34	24	27	2	0	10	9	26	118	8	77	36	13	6	146	126	36	0	5	0	12	18	9	32	34	19	80	21	122	46	8	4	0	59	23	0	6	29	14	26	17	30	0	74	28	3	0	44	27	43	115	44	3	9	24	48	4	23	46	55	0	36	38	25	0	1	8	2	65	0	0	0	6	3	35	15	0	132	12	0	0	0	69	0	23	0	0	2	0	0	0	0	43	16	0	0	65	7	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a37434738c54c882fda8e26d03eaa286	F136	265	2687	0	0	0	13	0	0	25	8	0	163	16	1	0	4	4	6	188	40	0	5	129	9	0	12	0	1	0	0	8	7	2	1	5	4	0	0	4	0	12	4	0	30	0	0	0	0	0	1	14	5	0	6	3	4	0	315	0	68	643	0	6	34	7	0	10	0	0	0	31	116	0	14	51	8	0	3	0	2	0	0	5	44	26	75	68	19	0	0	0	53	0	35	0	0	0	13	0	0	2	113	21	0	39	34	7	0	16	22	3	0	0	0	2	2	0	0	0	12	3	0	0	0	0	0	0	0	6	0	0	0	0	4	10	0	8	0	0	0	0	0	0	0	0	0	0	0	3
